stationCode,stationName,stationType,latitude,longitude,agencyName,state,district,majorBasin,tributary,dataAcquisitionMode,stationStatus,tehsil,block,village,datatype_code,description,data_value,data_time,unit,well_type,well_depth,well_aquifer_type
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.23,2024-02-19 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.25,2024-02-19 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.25,2024-02-20 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.25,2024-02-20 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.26,2024-02-21 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.45,2024-02-21 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.3,2024-02-22 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.3,2024-02-22 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.31,2024-02-23 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.32,2024-02-23 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.33,2024-02-24 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.35,2024-02-24 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.36,2024-02-25 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.37,2024-02-25 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.38,2024-02-26 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.39,2024-02-26 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.4,2024-02-27 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.41,2024-02-27 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.43,2024-02-28 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.43,2024-02-28 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.44,2024-02-29 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.46,2024-02-29 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.46,2024-03-01 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.48,2024-03-01 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.49,2024-03-02 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.5,2024-03-02 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.51,2024-03-03 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.53,2024-03-03 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.53,2024-03-04 00:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.57,2024-03-05 18:00:00,m,,,Bore Well,112.0,Confined
CGWBHU2326,Mukteswar,Ground Water,21.2394,86.7283,CGWB,Odisha,Baleshwar,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-3.58,2024-03-06 00:00:00,m,,,Bore Well,112.0,Confined
