stationCode,stationName,stationType,latitude,longitude,agencyName,state,district,majorBasin,tributary,dataAcquisitionMode,stationStatus,tehsil,block,village,datatype_code,description,data_value,data_time,unit,well_type,well_depth,well_aquifer_type
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.6,2023-11-07 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.58,2023-11-07 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.57,2023-11-07 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.54,2023-11-08 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.52,2023-11-08 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.51,2023-11-08 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.49,2023-11-08 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.46,2023-11-09 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.44,2023-11-09 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.42,2023-11-09 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.41,2023-11-09 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.39,2023-11-10 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.38,2023-11-10 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.35,2023-11-10 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.33,2023-11-10 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.31,2023-11-11 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.29,2023-11-11 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.28,2023-11-11 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.27,2023-11-11 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.24,2023-11-12 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.24,2023-11-12 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.21,2023-11-12 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.2,2023-11-12 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.19,2023-11-13 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.17,2023-11-13 06:00:00,m,,,,58.0,Unconfined
